model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,bottom_anomaly_score,top_anomaly_score,rank_low_to_high,low_auroc
anomalyclip,mvtec,pill,pill_type,81.09656301145662,98.2905982905983,26,9,0.9249230944193326,0.9830273919635348,0.05810429754420221,0.9542201161384584,0.9962354302406312,44,False
anomalyclip,mvtec,zipper,broken_teeth,98.39810924369748,98.35526315789474,32,19,0.6012046877294779,0.7975683212280273,0.19636363349854946,0.6569249629974365,0.9214975833892822,45,False
anomalyclip,mvtec,zipper,combined,98.39810924369748,98.828125,32,16,0.6012046877294779,0.8396724462509155,0.23846775852143764,0.7072322964668274,0.983869969844818,46,False
anomalyclip,mvtec,metal_nut,bent,92.37536656891496,98.9090909090909,22,25,0.9806581789797003,0.9934455513954162,0.012787372415715925,0.9869508147239684,0.9982660412788392,47,False
anomalyclip,mvtec,leather,fold,99.83016304347827,99.26470588235294,32,17,0.7302385941147804,0.9843312852522906,0.2540926911375102,0.93308687210083,0.9987562894821168,48,False
anomalyclip,mvtec,bottle,broken_small,88.65079365079366,99.54545454545453,20,22,0.9924770534038544,0.9985373453660444,0.006060291962190045,0.9966289401054382,0.9993997812271118,49,False
anomalyclip,mvtec,carpet,hole,99.95987158908507,99.78991596638656,28,17,0.22061416719641,0.7190069188089931,0.4983927516125831,0.2814036607742309,0.9661715030670166,50,False
anomalyclip,mvtec,leather,poke,99.83016304347827,99.82638888888889,32,18,0.7302385941147804,0.9943745136260986,0.2641359195113182,0.9637600779533386,0.9989672899246216,51,False
anomalyclip,mvtec,carpet,color,99.95987158908507,100.0,28,19,0.22061416719641,0.8212946716107821,0.600680504414372,0.5552118420600891,0.989753007888794,52,False
anomalyclip,mvtec,carpet,cut,99.95987158908507,100.0,28,17,0.22061416719641,0.7281546732958626,0.5075405060994526,0.392281711101532,0.9838429689407348,52,False
anomalyclip,mvtec,carpet,metal_contamination,99.95987158908507,100.0,28,17,0.22061416719641,0.8215125711525187,0.6008984039561087,0.4908492863178253,0.9618317484855652,52,False
anomalyclip,mvtec,carpet,thread,99.95987158908507,100.0,28,19,0.22061416719641,0.7157468748720068,0.4951327076755968,0.3185642063617706,0.9721375703811646,52,False
anomalyclip,mvtec,grid,broken,97.82790309106099,100.0,21,12,0.3745485998335339,0.8876207619905472,0.5130721621570133,0.7462710738182068,0.9722062945365906,52,False
anomalyclip,mvtec,grid,glue,97.82790309106099,100.0,21,11,0.3745485998335339,0.7083698294379495,0.33382122960441557,0.5067150592803955,0.9479970932006836,52,False
anomalyclip,mvtec,grid,metal_contamination,97.82790309106099,100.0,21,11,0.3745485998335339,0.7755315412174572,0.40098294138392326,0.573814332485199,0.9417356252670288,52,False
anomalyclip,mvtec,hazelnut,crack,97.17857142857143,100.0,40,18,0.9771937370300293,0.9964731501208411,0.019279413090811826,0.9923974871635436,0.999160647392273,52,False
anomalyclip,mvtec,hazelnut,hole,97.17857142857143,100.0,40,18,0.9771937370300293,0.9978502458996243,0.020656508869595025,0.9936508536338806,0.9992576241493224,52,False
anomalyclip,mvtec,leather,color,99.83016304347827,100.0,32,19,0.7302385941147804,0.9973766490032798,0.2671380548884994,0.992157220840454,0.999657154083252,52,False
anomalyclip,mvtec,leather,cut,99.83016304347827,100.0,32,19,0.7302385941147804,0.9972585533794603,0.2670199592646799,0.9841598868370056,0.999772608280182,52,False
anomalyclip,mvtec,leather,glue,99.83016304347827,100.0,32,19,0.7302385941147804,0.9944595129866349,0.2642209188718545,0.9880011677742004,0.9986742734909058,52,False
anomalyclip,mvtec,tile,crack,100.0,100.0,33,17,0.8137905796368917,0.9893224344534033,0.17553185481651157,0.9630802273750304,0.9981890320777892,52,False
anomalyclip,mvtec,tile,glue_strip,100.0,100.0,33,18,0.8137905796368917,0.991795947154363,0.1780053675174713,0.9824589490890504,0.9975019097328186,52,False
anomalyclip,mvtec,tile,gray_stroke,100.0,100.0,33,16,0.8137905796368917,0.9782488904893398,0.1644583108524481,0.9144256711006165,0.9964064955711364,52,False
anomalyclip,mvtec,tile,oil,100.0,100.0,33,18,0.8137905796368917,0.9974843694104089,0.18369378977351714,0.9956566095352172,0.9985477328300476,52,False
anomalyclip,mvtec,tile,rough,100.0,100.0,33,15,0.8137905796368917,0.9727346698443095,0.15894409020741773,0.914119839668274,0.9954921007156372,52,False
anomalyclip,mvtec,wood,color,96.9298245614035,100.0,19,8,0.9337222544770492,0.9991851300001144,0.06546287552306529,0.998441755771637,0.9996378421783448,52,False
anomalyclip,mvtec,wood,hole,96.9298245614035,100.0,19,10,0.9337222544770492,0.9985802114009857,0.06485795692393659,0.9962612986564636,0.9997342228889464,52,False
anomalyclip,mvtec,wood,liquid,96.9298245614035,100.0,19,10,0.9337222544770492,0.997390627861023,0.0636683733839738,0.9934523105621338,0.9987034797668456,52,False
anomalyclip,mvtec,zipper,fabric_border,98.39810924369748,100.0,32,17,0.6012046877294779,0.9077015659388374,0.30649687820935956,0.8337162137031555,0.9692182540893556,52,False
anomalyclip,mvtec,zipper,rough,98.39810924369748,100.0,32,17,0.6012046877294779,0.871254118049846,0.2700494303203681,0.7460412383079529,0.9590413570404052,52,False
winclip,mvtec,pill,pill_type,81.34206219312603,5.341880341880341,26,9,0.23349703275240385,0.13526407877604166,-0.0982329539763622,0.039642333984375,0.2017822265625,1,True
winclip,mvtec,screw,manipulated_front,71.99221151875385,50.30487804878049,41,24,0.20825641911204268,0.21363067626953125,0.005374257157488571,0.12249755859375,0.422607421875,2,True
winclip,mvtec,capsule,faulty_imprint,68.6477861986438,62.549407114624515,23,22,0.009987043297809074,0.012717333706942448,0.0027302904091333745,0.0027580261230468,0.0390625,3,True
winclip,mvtec,capsule,crack,68.6477861986438,69.09262759924385,23,23,0.009987043297809074,0.015819383704143996,0.005832340406334922,0.0049057006835937,0.041473388671875,4,True
winclip,mvtec,capsule,poke,68.6477861986438,69.15113871635612,23,21,0.009987043297809074,0.014180682954334048,0.004193639656524974,0.0063896179199218,0.049591064453125,5,True
