model,dataset,class,defect_type,auroc_pct,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
winclip,mvtec,cable,poke_insulation,77.5862,0.1226,0.271,-0.1483,0.0851,0.0375,0.0637,10,False
winclip,mvtec,pill,pill_type,5.3419,0.1353,0.271,-0.1357,0.2335,-0.0982,0.0396,9,False
winclip,visa,macaroni2,Anomaly,66.795,0.1364,0.271,-0.1345,0.1062,0.0302,0.0496,100,False
winclip,mvtec,cable,cable_swap,82.5431,0.1369,0.271,-0.1341,0.0851,0.0518,0.0688,12,False
winclip,mvtec,cable,cut_outer_insulation,83.4483,0.1408,0.271,-0.1302,0.0851,0.0557,0.0854,10,False
winclip,visa,pcb2,Anomaly,47.03,0.1463,0.271,-0.1247,0.1524,-0.0061,0.0716,100,False
anomalyclip,visa,pcb2,Anomaly,68.94,0.8554,0.9541,-0.0987,0.8208,0.0346,0.7488,100,False
winclip,mvtec,cable,cut_inner_insulation,84.7906,0.1805,0.271,-0.0905,0.0851,0.0954,0.0759,14,False
anomalyclip,mvtec,transistor,misplaced,83.1667,0.8647,0.9541,-0.0895,0.789,0.0757,0.742,10,False
anomalyclip,mvtec,transistor,bent_lead,86.3333,0.868,0.9541,-0.0861,0.789,0.0791,0.7893,10,False
adaptclip,visa,pcb3,Anomaly,65.4653,0.7574,0.8404,-0.083,0.7148,0.0426,0.5207,100,False
adaptclip,visa,pcb2,Anomaly,66.14,0.7641,0.8404,-0.0764,0.6974,0.0667,0.4313,100,False
anomalyclip,mvtec,transistor,damaged_case,88.6667,0.8816,0.9541,-0.0726,0.789,0.0926,0.7997,10,False
winclip,mvtec,screw,manipulated_front,50.3049,0.2136,0.271,-0.0573,0.2083,0.0054,0.1225,24,False
anomalyclip,visa,pcb3,Anomaly,76.7228,0.9053,0.9541,-0.0488,0.8734,0.032,0.7829,100,False
anomalyclip,mvtec,cable,missing_wire,74.6552,0.9175,0.9541,-0.0366,0.8895,0.028,0.8363,10,False
anomalyclip,mvtec,cable,poke_insulation,75.8621,0.9213,0.9541,-0.0329,0.8895,0.0318,0.8517,10,False
adaptclip,mvtec,transistor,misplaced,78.1667,0.8086,0.8404,-0.0318,0.7394,0.0692,0.687,10,False
anomalyclip,mvtec,cable,bent_wire,81.0345,0.9226,0.9541,-0.0316,0.8895,0.0331,0.8744,13,False
anomalyclip,mvtec,cable,cut_inner_insulation,87.8079,0.9305,0.9541,-0.0236,0.8895,0.041,0.8919,14,False
adaptclip,mvtec,transistor,cut_lead,84.8333,0.8245,0.8404,-0.016,0.7394,0.0851,0.7391,10,False
winclip,mvtec,screw,thread_side,73.5419,0.2584,0.271,-0.0125,0.2083,0.0502,0.1384,23,False
anomalyclip,visa,macaroni1,Anomaly,88.64,0.943,0.9541,-0.0112,0.8886,0.0544,0.8648,100,False
adaptclip,mvtec,cable,missing_cable,64.9425,0.8337,0.8404,-0.0067,0.8255,0.0082,0.7895,12,False
anomalyclip,visa,macaroni2,Anomaly,78.02,0.953,0.9541,-0.0011,0.92,0.033,0.8364,100,False
adaptclip,mvtec,cable,cable_swap,74.569,0.8417,0.8404,0.0013,0.8255,0.0163,0.8138,12,False
anomalyclip,mvtec,cable,missing_cable,98.1322,0.9556,0.9541,0.0015,0.8895,0.0661,0.9246,12,False
winclip,mvtec,screw,scratch_neck,75.2683,0.2736,0.271,0.0026,0.2083,0.0654,0.1824,25,False
adaptclip,mvtec,screw,scratch_head,84.0447,0.8456,0.8404,0.0052,0.8119,0.0338,0.8136,24,False
adaptclip,mvtec,cable,cut_inner_insulation,79.064,0.8477,0.8404,0.0073,0.8255,0.0223,0.8201,14,False
winclip,mvtec,screw,scratch_head,76.7785,0.2784,0.271,0.0074,0.2083,0.0701,0.15,24,False
adaptclip,mvtec,cable,bent_wire,81.0345,0.8549,0.8404,0.0144,0.8255,0.0294,0.817,13,False
winclip,mvtec,pill,color,78.9231,0.2854,0.271,0.0144,0.2335,0.0519,0.1968,25,False
anomalyclip,visa,cashew,Anomaly,95.82,0.97,0.9541,0.0159,0.9063,0.0637,0.9058,100,False
adaptclip,mvtec,screw,thread_side,81.2301,0.859,0.8404,0.0186,0.8119,0.0471,0.7766,23,False
adaptclip,mvtec,cable,missing_wire,91.3793,0.8622,0.8404,0.0217,0.8255,0.0367,0.8211,10,False
winclip,mvtec,transistor,cut_lead,78.75,0.2934,0.271,0.0225,0.2184,0.075,0.1871,10,False
anomalyclip,mvtec,pill,crack,65.2367,0.9782,0.9541,0.0241,0.9748,0.0034,0.9595,26,False
anomalyclip,mvtec,screw,manipulated_front,76.9309,0.9786,0.9541,0.0245,0.9637,0.0149,0.9429,24,False
adaptclip,mvtec,screw,scratch_neck,82.3415,0.8661,0.8404,0.0257,0.8119,0.0542,0.7557,25,False
anomalyclip,mvtec,screw,scratch_head,82.7236,0.9804,0.9541,0.0263,0.9637,0.0167,0.964,24,False
anomalyclip,mvtec,screw,scratch_neck,84.0,0.9817,0.9541,0.0275,0.9637,0.018,0.9447,25,False
adaptclip,mvtec,cable,combined,93.8871,0.8682,0.8404,0.0277,0.8255,0.0427,0.839,11,False
anomalyclip,mvtec,pill,contamination,84.4322,0.9821,0.9541,0.028,0.9748,0.0073,0.975,21,False
anomalyclip,mvtec,pill,scratch,82.5321,0.9825,0.9541,0.0283,0.9748,0.0076,0.972,24,False
anomalyclip,mvtec,pill,faulty_imprint,80.9717,0.9829,0.9541,0.0288,0.9748,0.0081,0.9665,19,False
anomalyclip,mvtec,screw,thread_side,87.2747,0.9833,0.9541,0.0292,0.9637,0.0196,0.9629,23,False
anomalyclip,mvtec,screw,thread_top,90.7741,0.9849,0.9541,0.0308,0.9637,0.0213,0.9666,23,False
winclip,mvtec,pill,crack,81.5828,0.3024,0.271,0.0315,0.2335,0.0689,0.1824,26,False
