model,dataset,class,defect_type,auroc,auroc_pct,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,top_normal_score,bottom_anomaly_score,rank_low_to_high,weak_defect_type
anomalyclip,mvtec,screw,thread_side,0.8727465535524921,87.27465535524921,41,23,0.9636865534433504,0.9833209799683612,0.019634426525010795,0.01744391269405183,0.007580801460065918,0.00958368182182312,0.0311986804008485,0.434581483697226,0.9872308373451232,0.962880790233612,4,False
anomalyclip,mvtec,screw,thread_top,0.9077412513255567,90.77412513255567,41,23,0.9636865534433504,0.9849449655284053,0.021258412085054856,0.01744391269405183,0.007151396763870412,0.008252471685409546,0.028503060340881237,0.4099651774976468,0.9872308373451232,0.96658593416214,5,False
anomalyclip,mvtec,transistor,misplaced,0.8316666666666667,83.16666666666667,60,10,0.7889838149150212,0.8646547198295593,0.0756709049145381,0.05598632998730206,0.05558812165744589,0.04923178255558025,0.20243632793426525,0.9928874007289549,0.9059619307518004,0.7419695854187012,1,False
anomalyclip,mvtec,transistor,bent_lead,0.8633333333333333,86.33333333333333,60,10,0.7889838149150212,0.868046909570694,0.07906309465567274,0.05598632998730206,0.04502742619427276,0.047067731618881226,0.14942508935928334,0.8042575072251597,0.9059619307518004,0.7892701625823975,2,False
anomalyclip,mvtec,transistor,damaged_case,0.8866666666666667,88.66666666666667,60,10,0.7889838149150212,0.8815797150135041,0.09259590009848284,0.05598632998730206,0.051766446040757724,0.08177120983600628,0.14624929428100586,0.924626530306569,0.9059619307518004,0.7997364401817322,3,False
anomalyclip,mvtec,transistor,cut_lead,0.9133333333333333,91.33333333333333,60,10,0.7889838149150212,0.8833553552627563,0.0943715403477351,0.05598632998730206,0.040683067750569187,0.037219226360321045,0.13013970851898204,0.7266607359295792,0.9059619307518004,0.7951379418373108,4,False
anomalyclip,visa,cashew,Anomaly,0.9582,95.82000000000001,50,100,0.9062927424907684,0.9700186085700989,0.0637258660793305,0.03226687342314546,0.02067417014317088,0.028254225850105175,0.09183448553085316,0.6407243079318935,0.9591224789619446,0.9058129787445068,1,False
anomalyclip,visa,macaroni1,Anomaly,0.8864,88.64,100,100,0.888575559258461,0.9429687976837158,0.054393238425254786,0.04198587900283799,0.02482537367038788,0.03223787248134602,0.1171172261238097,0.5912791219331107,0.9724053144454956,0.8648363947868347,1,False
anomalyclip,visa,macaroni2,Anomaly,0.7802,78.02,100,100,0.9200134980678558,0.9530065888166428,0.03299309074878698,0.042911781463263285,0.027898814770816,0.025942638516426086,0.15354377031326305,0.6501434762082794,0.9815643429756165,0.8363556861877441,1,True
anomalyclip,visa,pcb2,Anomaly,0.6894,68.94,100,100,0.8207786339521408,0.8554066157341004,0.03462798178195958,0.045319700781771784,0.04580210307651157,0.050707608461380005,0.22023546695709217,1.0106444280614892,0.9044755101203918,0.7487837076187134,1,True
anomalyclip,visa,pcb3,Anomaly,0.7672277227722772,76.72277227722772,101,100,0.8733697598523432,0.9053231066465378,0.03195334679419459,0.029835269840278792,0.035784941480748476,0.04261930286884308,0.1903148889541626,1.1994173899656637,0.9316813349723816,0.7829018831253052,1,True
winclip,mvtec,cable,missing_wire,0.7224137931034482,72.24137931034483,58,10,0.08509458344558189,0.11851806640625,0.033423482960668105,0.03565497857337539,0.047164612188403,0.0550689697265625,0.1368408203125,1.3228057925022059,0.17333984375,0.063720703125,1,True
winclip,mvtec,cable,poke_insulation,0.7758620689655172,77.58620689655173,58,10,0.08509458344558189,0.1226318359375,0.03753725249191811,0.03565497857337539,0.03450194289392691,0.0503692626953125,0.100830078125,0.9676612993308742,0.17333984375,0.063720703125,2,True
winclip,mvtec,cable,cable_swap,0.8254310344827587,82.54310344827587,58,12,0.08509458344558189,0.1368865966796875,0.05179201323410561,0.03565497857337539,0.053727934646386234,0.041229248046875,0.21661376953125,1.5068845024213937,0.17333984375,0.06878662109375,3,False
winclip,mvtec,cable,cut_outer_insulation,0.8344827586206897,83.44827586206897,58,10,0.08509458344558189,0.1407958984375,0.05570131499191812,0.03565497857337539,0.05603451219905627,0.0537872314453125,0.19439697265625,1.5715761007608309,0.17333984375,0.08538818359375,4,False
winclip,mvtec,cable,cut_inner_insulation,0.8479064039408867,84.79064039408867,58,14,0.08509458344558189,0.18048095703125,0.09538637358566811,0.03565497857337539,0.10013304580413213,0.11224365234375,0.32012939453125,2.808388892958258,0.17333984375,0.07586669921875,5,False
winclip,mvtec,cable,missing_cable,0.9058908045977011,90.58908045977012,58,12,0.08509458344558189,0.20855712890625,0.12346254546066811,0.03565497857337539,0.11396859057279538,0.071685791015625,0.413818359375,3.1964285250727658,0.17333984375,0.070556640625,6,False
winclip,mvtec,cable,bent_wire,0.9323607427055702,93.23607427055703,58,13,0.08509458344558189,0.27096792367788464,0.18587334023230273,0.03565497857337539,0.1550083829442516,0.2178955078125,0.5037841796875,4.347454104487973,0.17333984375,0.0850830078125,7,False
winclip,mvtec,cable,combined,0.9357366771159874,93.57366771159874,58,11,0.08509458344558189,0.20460094105113635,0.11950635760555446,0.03565497857337539,0.0820694871439814,0.1309814453125,0.2529296875,2.301767955773365,0.17333984375,0.093994140625,8,False
winclip,mvtec,pill,pill_type,0.05341880341880341,5.341880341880341,26,9,0.23349703275240385,0.13526407877604166,-0.0982329539763622,0.04000719272840051,0.05456831410270732,0.06793212890625,0.162139892578125,1.3639625872567183,0.31396484375,0.039642333984375,1,True
